discipline,AI_RS
Cheminformatics/Chemistry Informatics,41.83973818
Mathematical Biology,38.00022946
Computational Mathematics,34.55676361
"Data Science, General",34.25856742
"Applied Statistics, General",28.91548698
Computational Science,27.07467247
Econometrics and Quantitative Economics,26.42735352
"Applied Mathematics, General",24.57689513
Computer Game Programming,24.44468215
Operations Research,18.77454288
Bioinformatics,17.9735267
Mathematical Economics,12.62978565
"Statistics, General",11.89642541
Data Visualization,10.82560538
Linguistics,10.06732264
Economics and Computer Science,10.02731252
"Data Analytics, General",9.796036718
Biostatistics,7.940733998
Cognitive Psychology and Psycholinguistics,7.219629366
Computer Hardware Engineering,6.787122254
"Physics, General",6.094342744
Psychometrics and Quantitative Psychology,5.907977189
Computer Software Engineering,5.854335931
Cloud Computing,5.803597956
Logic,5.390062481
Biophysics,5.313360848
Astrophysics,5.147750182
Nuclear Physics,4.775013025
"Computer Engineering, General",4.738362391
Climate Science,4.72707214
"Ecology, Evolution, Systematics and Population Biology, Other",4.595600054
Financial Mathematics,4.58614625
Computer Science,4.498938668
Electrical and Computer Engineering,4.386291718
Informatics,4.315187242
"Mathematics, General",4.310273686
National Security Policy Studies,4.036584891
Medicinal and Pharmaceutical Chemistry,3.79162872
Evolutionary Biology,3.782525324
Geospatial Intelligence,3.709470786
Computer Graphics,3.615745049
Medical Informatics,3.605934673
Neuroscience,3.50668847
"Genetics, General",3.453739973
Irrigation Management Technology/Technician,3.246518457
Data Processing and Data Processing Technology/Technician,3.209614303
Bioenergy,3.195691701
Engineering Physics/Applied Physics,3.077255214
Optics/Optical Sciences,2.955143307
Architectural Design,2.886264099
Epidemiology,2.874785236
Planetary Astronomy and Science,2.849748683
Geophysics and Seismology,2.843131116
Actuarial Science,2.806201511
Astronomy,2.80339922
Creative Writing,2.715154077
"Economics, General",2.620569073
Laser and Optical Engineering,2.602157839
Marine Biology and Biological Oceanography,2.579115945
"Mechatronics, Robotics, and Automation Engineering",2.524639227
Information Science/Studies,2.521150013
Technical and Scientific Communication,2.416492153
Experimental Psychology,2.399811666
Physics and Astronomy,2.395853271
Bioengineering and Biomedical Engineering,2.373981343
Applied Economics,2.314647473
Business Analytics,2.266087716
"Computer Programming, Specific Platforms",2.086671535
Meteorology,2.081332157
Industrial Engineering,2.066678088
"Casino Operations and Services, General",2.042586449
Electrical and Electronics Engineering,2.018497672
"Engineering, General",1.695720432
"International Business, Trade, and Tax Law",1.690983317
Library and Information Science,1.563650941
"Physical Sciences, Other",1.54146339
Materials Chemistry,1.485707956
Biological/Biosystems Engineering,1.480939384
Financial Risk Management,1.453551473
"Biological and Biomedical Sciences, Other",1.389556517
Epidemiology and Biostatistics,1.337360057
"Electrical/Electronic Engineering Technologies/Technicians, Other",1.285535884
"Management Information Systems, General",1.268030134
Digital Communication and Media/Multimedia,1.235988393
Systems Engineering,1.221013419
"Cosmetology/Cosmetologist, General",1.197955233
Information Technology,1.189806429
Biomedical Technology/Technician,1.185018587
Geography,1.143254095
Industrial and Organizational Psychology,1.093648686
Geographic Information Science and Cartography,1.078200751
Environmental/Natural Resource Economics,1.076574058
Latin Language and Literature,1.06058595
Surgical Technology/Technologist,1.058491899
Biomechanics,1.015215769
"Teacher Education, Multiple Levels",0.978602357
Science/Technology Management,0.967916428
Engineering Acoustics,0.93416987
Materials Science,0.924143145
Applied Linguistics,0.919627437
Philosophy,0.91229905
"Social Sciences, General",0.870354777
International Marketing,0.840629267
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",0.828751697
"Political Science and Government, General",0.82819668
Forklift Operation/Operator,0.812623318
Geobiology,0.794227139
Electromechanical/Electromechanical Engineering Technology/Technician,0.781177547
Cybersecurity Defense Strategy/Policy,0.779735511
Immunology,0.775540691
Environmental Geosciences,0.775017538
Ecology,0.764048045
"Computer/Information Technology Services Administration and Management, Other",0.753880303
General Literature,0.729469811
Molecular Biology,0.715489987
Cell/Cellular and Molecular Biology,0.706926041
Marketing Research,0.703581974
Geochemistry,0.693851766
Natural Sciences,0.684474214
Telecommunications Engineering,0.67855134
Sound Arts,0.663390207
Engineering/Industrial Management,0.659654008
Operations Management and Supervision,0.65315687
Sports Studies,0.652295719
Agricultural Engineering,0.646381888
Agronomy and Crop Science,0.630482248
Humanities/Humanistic Studies,0.626306946
"Biomedical Sciences, General",0.625960886
Transportation and Highway Engineering,0.622834217
Mining Technology/Technician,0.617212403
Computer and Information Systems Security/Auditing/Information Assurance,0.583013754
"Soil Science and Agronomy, General",0.580156401
"English Language and Literature, General",0.57627774
Risk Management,0.5712009
"Geology/Earth Science, General",0.569000186
"Biology/Biological Sciences, General",0.563220511
Family and Consumer Sciences/Home Economics Teacher Education,0.556773014
"Anthropology, General",0.55584451
Petroleum Engineering,0.553131754
Pharmaceutical Sciences,0.550534612
Japanese Studies,0.537818711
Systems Science and Theory,0.525842222
Banking and Financial Support Services,0.522896196
Solar Energy Technology/Technician,0.519265869
Publishing,0.518123392
Pharmacy Technician/Assistant,0.514480253
"Public Health, Other",0.496960126
Organic Chemistry,0.494093732
"Computer Systems Networking and Telecommunications, Other",0.466010829
Asian Studies/Civilization,0.463606606
Water Resources Engineering,0.463454503
Hydrology and Water Resources Science,0.455217218
